h_id,layer,status,evidence_summary,classified
H00,Source / API / Authority / Issuer / Jurisdiction / Provenance,PASS_SCOPE,Live runtime + controlled candidates + Drive/Supabase lineage reconciled.,True
H01,Master Data,PASS_WITH_SCOPED_HOLDS,Current CKO-MD audit is pass with scoped holds; no MD mutation in this wave.,True
H02,Regulatory Control Plane,PASS_WITH_SCOPED_HOLDS,CKO-REG is a governed dependency; page wave does not reopen frozen REG.,True
H03,Regulatory Corpus / Corpus Normativo,N/A_SCOPE,No regulatory corpus extraction denominator created by this institutional projection wave.,True
H04,Regulatory Relations / Temporal Graph,N/A_SCOPE,No normative temporal relation mutation in this wave.,True
H05,Evidence / IPE / Data Quality,PASS_SCOPE_WITH_CLAIM_HOLDS,Unsupported factual/quantitative claims are removed from successor candidates or held for evidence.,True
H06,API / Acquisition / RAW / Integrity,HOLD_SCOPED,Contact form and forum runtime/acquisition behavior require downstream runtime/privacy/security assurance.,True
H07,Metadata / Registry Governance,PASS_SCOPE,12/12 page candidates have deterministic metadata/schema checks in this package.,True
H08,Country / Locale / Currency / Date / Timezone / Values,PASS_SCOPE_CLASSIFIED_WITH_HOLDS,30/30 site locales and 360/360 page-locale cells classified; non-pt content remains review/translation holds.,True
H09,Privacy / LGPD / Transfers / Incidents,HOLD_SCOPED,"Privacy page, contact fields, advertising/cookies and forum PII require legal/runtime reconciliation.",True
H10,Rights / Licensing / Copyright,HOLD_SCOPED,Media/brand rights and provenance remain release-scoped dependencies.,True
H11,Accessibility,PASS_STATIC_HOLD_EMPIRICAL,Static semantics/skip/module checks pass in candidate scope; empirical AT/human validation remains HOLD.,True
H12,Security / Cybersecurity,HOLD_SCOPED_CRITICAL_FOR_FORUM,Live forum exposes administrative diagnostics and handles files/e-mail; remediation candidate cannot release yet.,True
H13,SEO / HTML Metadata / OG / LinkedIn / JSON-LD,PASS_STATIC_HOLD_LIVE_PREVIEW,Candidate metadata/JSON-LD structurally checked; live browser/social preview and route parity remain release gates.,True
H14,Taxonomy / Terminology / Crosswalk,N/A_SCOPE,No taxonomy/clinical terminology mutation in institutional projection wave.,True
H15,Version / Change / Maintenance / Monitoring,PASS_SCOPE_VERSIONED,"Wave2, hashes, parent lineage, matrices and next actions are versioned; production monitoring remains downstream.",True
H16,Audit / CAAT / Reperformance / Canonical Learning,PASS_SCOPE,Deterministic checker + independent audit report executed for declared page/locale denominator.,True
H17,External Regulatory Universe Completeness,N/A_SCOPE,Not a denominator of this institutional page wave.,True
H18,Horizontal Reconciliation 360,PASS_SCOPE_20_OF_20_CLASSIFIED,20/20 horizontal rows have explicit status/evidence/next-action semantics.,True
H19,Horizontal Foundation Freeze / Promotion,HOLD_SCOPED_GLOBAL_RELEASE,Technical wave can close; canonical publication remains blocked by declared global release dependencies.,True
