artifact_id,artifact_class,file,status,governing_policy
agent-contract.schema,SCHEMA,agent-contract.schema.json,CONTROLLED_CANDIDATE,POL-CKO-UCP-001-v2.0
content-atom.schema,SCHEMA,content-atom.schema.json,CONTROLLED_CANDIDATE,POL-CKO-UCP-001-v2.0
content-object.schema,SCHEMA,content-object.schema.json,CONTROLLED_CANDIDATE,POL-CKO-UCP-001-v2.0
engine-contract.schema,SCHEMA,engine-contract.schema.json,CONTROLLED_CANDIDATE,POL-CKO-UCP-001-v2.0
knowledge-object.schema,SCHEMA,knowledge-object.schema.json,CONTROLLED_CANDIDATE,POL-CKO-UCP-001-v2.0
library-object.schema,SCHEMA,library-object.schema.json,CONTROLLED_CANDIDATE,POL-CKO-UCP-001-v2.0
publishing-contract.schema,SCHEMA,publishing-contract.schema.json,CONTROLLED_CANDIDATE,POL-CKO-UCP-001-v2.0
render-contract.schema,SCHEMA,render-contract.schema.json,CONTROLLED_CANDIDATE,POL-CKO-UCP-001-v2.0
render-instance.schema,SCHEMA,render-instance.schema.json,CONTROLLED_CANDIDATE,POL-CKO-UCP-001-v2.0
studio-contract.schema,SCHEMA,studio-contract.schema.json,CONTROLLED_CANDIDATE,POL-CKO-UCP-001-v2.0
validator-contract.schema,SCHEMA,validator-contract.schema.json,CONTROLLED_CANDIDATE,POL-CKO-UCP-001-v2.0
agent-engine-validator-matrix,MODEL,agent-engine-validator-matrix.json,CONTROLLED_CANDIDATE,POL-CKO-UCP-001-v2.0
audience-model,MODEL,audience-model.json,CONTROLLED_CANDIDATE,POL-CKO-UCP-001-v2.0
content-depth-model,MODEL,content-depth-model.json,CONTROLLED_CANDIDATE,POL-CKO-UCP-001-v2.0
content-relationships,MODEL,content-relationships.json,CONTROLLED_CANDIDATE,POL-CKO-UCP-001-v2.0
domain-profiles,MODEL,domain-profiles.json,CONTROLLED_CANDIDATE,POL-CKO-UCP-001-v2.0
release-gates,MODEL,release-gates.json,CONTROLLED_CANDIDATE,POL-CKO-UCP-001-v2.0
render-recipes,MODEL,render-recipes.json,CONTROLLED_CANDIDATE,POL-CKO-UCP-001-v2.0
studio-model,MODEL,studio-model.json,CONTROLLED_CANDIDATE,POL-CKO-UCP-001-v2.0
validation-matrix,MODEL,validation-matrix.json,CONTROLLED_CANDIDATE,POL-CKO-UCP-001-v2.0
PILOT-UCP-v2.0,PILOT_CATALOG,pilot-catalog.json,CONTROLLED_CANDIDATE,POL-CKO-UCP-001-v2.0
