page_id,candidate_file,target_route,live_observed_route,page_state,hold_reason,production_mutation
PAGE_HOME,index.html,/,/,PASS_STATIC_HOLD_RELEASE,HOME_CLAIMS_RUNTIME_RELEASE,False
PAGE_ABOUT,missao.html,/missao.html,/missao.html,PASS_STATIC_HOLD_RELEASE,RELEASE_RUNTIME,False
PAGE_SITE_OBJECTIVES,objetivo.html,/objetivo.html,/objetivo.html,PASS_STATIC_HOLD_RELEASE,RELEASE_RUNTIME,False
PAGE_ECOSYSTEM,ecossistema.html,/ecossistema.html,,HOLD_ROUTE_DECISION,NEW_ROUTE_DECISION,False
PAGE_ACCESSIBILITY_CENTER,acessibilidade.html,/acessibilidade.html,/politica.html,HOLD_A11Y_EVIDENCE_ROUTE,A11Y_EMPIRICAL_AND_ROUTE_ALIAS,False
PAGE_SUSTAINABILITY_CENTER,tecnologiaverde.html,/tecnologiaverde.html,/tecnologiaverde.html,HOLD_SUSTAINABILITY_ASSURANCE,SUSTAINABILITY_ASSURANCE,False
PAGE_PRIVACY_CENTER,privacidade.html,/privacidade.html,/politica.html,HOLD_PRIVACY_LEGAL_RUNTIME_ROUTE,PRIVACY_LEGAL_RUNTIME_AND_ROUTE_ALIAS,False
PAGE_NOTIFICATIONS_DISCLAIMER,notificacoes-legais.html,/notificacoes-legais.html,,HOLD_ROUTE_LEGAL,NEW_ROUTE_AND_LEGAL_REVIEW,False
PAGE_EDITORIAL_POLICY,politica-editorial.html,/politica-editorial.html,,HOLD_ROUTE_DECISION,NEW_ROUTE_DECISION,False
PAGE_CONTACT,fale.html,/fale.html,/fale.html,HOLD_FORM_PRIVACY_RUNTIME,FORM_HANDLER_PRIVACY_RUNTIME,False
PAGE_NURSING_FORUM_REMEDIATION,forum-enfermagem.html,/forum-enfermagem.html,/forum-enfermagem.html,HOLD_CRITICAL_SECURITY_PRIVACY,PUBLIC_ADMIN_DIAGNOSTIC_AND_PII_GOVERNANCE,False
PAGE_SITEMAP,mapa-do-site.html,/mapa-do-site.html,/mapa-do-site.html,HOLD_GRAPH_RUNTIME_BINDING,SITE_GRAPH_RUNTIME_BINDING,False
