capability_id,capability_name,v2_delta,control_plane_status
03-knowledge-graph,Knowledge Graph,content atoms + relationships + canonical refs,CONTROL_PLANE_V2_DEFINED
05-terminology,Terminology,atoms/domain profiles preserve terminology refs,CONTROL_PLANE_V2_DEFINED
06-knowledge,Knowledge,knowledge-object + content-object schemas,CONTROL_PLANE_V2_DEFINED
07-evidence,Evidence,atom/knowledge schemas require evidence refs,CONTROL_PLANE_V2_DEFINED
08-assurance,Assurance,validation matrix + release gates,CONTROL_PLANE_V2_DEFINED
10-learning,Learning,depth/audience models + flashcards/quiz recipes,CONTROL_PLANE_V2_DEFINED
11-safety,Safety,blocking conditions + clinical validation hooks,CONTROL_PLANE_V2_DEFINED
12-validation-units,Validation & Units,validator contracts + unit_ref atom field,CONTROL_PLANE_V2_DEFINED
13-library-os,Library OS,library-object + hub/full-page recipes,CONTROL_PLANE_V2_DEFINED
14-search-discovery,Search & Discovery,canonical relationships/library metadata,CONTROL_PLANE_V2_DEFINED
15-product-session,Product Session,audience/depth selection contracts; runtime state remains separate,CONTROL_PLANE_V2_DEFINED
16-offline-export,Offline / Export,PDF/export render contracts,CONTROL_PLANE_V2_DEFINED
17-designos,DesignOS,render contract + recipe/template separation,CONTROL_PLANE_V2_DEFINED
18-studio,Studio,studio contract + control-plane navigation/tabs,CONTROL_PLANE_V2_DEFINED
19-qa-release,QA / Release,release gates + validation matrix + pilot,CONTROL_PLANE_V2_DEFINED
20-ai-interop,AI Interop,agent/engine/validator contracts + SAE/API recipes,CONTROL_PLANE_V2_DEFINED
