order,id,name,status,impact,evidence_summary,residual
0,00-foundation,Foundation,COMPLETA,blocking-v1,"Root Meta Schema, contratos, invariantes, identificadores, versionamento e policy de release materializados.",Nenhum estrutural.
1,01-nkos,NKOS,COMPLETA_PARA_V1,non-blocking,"NKOS está MINIMUM_OPERATIONAL.",Expansão além do mínimo-operacional é evolução, não bloqueio.
2,02-nis,NIS,PARCIAL_ROADMAP,scope-decision,"Contexto, lógica e recomendações materializados; runtime canônico avançado não fechado.",Formalizar escopo v1.
3,03-knowledge-graph,Knowledge Graph,COMPLETA_COM_GATES,non-blocking,"Grafo estrutural materializado.",Claims sem evidência permanecem fail-closed.
4,04-ontology,Ontology,PARCIAL,scope-decision,"Semântica e terminologias; ontologia formal declarada não provada.",Criar/ligar registry ontológico mínimo.
5,05-terminology,Terminology,COMPLETA_COM_GATES,non-blocking,"CID-10/CID-11, adapters, sandbox.",Completar mappings só com fonte/licença.
6,06-knowledge,Knowledge,PARCIAL,scope-decision,"Conhecimento de domínio amplo; registry genérico skeleton.",Popular registry ou declarar equivalente canônico.
7,07-evidence,Evidence,COMPLETA_COM_GATES,non-blocking,"79 evidence objects e 79 sources.",Cobertura clínica é por objeto.
8,08-assurance,Assurance,COMPLETA_COM_GATES,release-gate,"Fail-closed; readiness, provenance, validation, release policy.",Executar gates finais por objeto e release.
9,09-reasoning,Reasoning,PARCIAL_ROADMAP,scope-decision,"Lógica determinística operacional; inference/explanations incompletos.",Assumir reasoning determinístico como v1 ou materializar camada.
10,10-learning,Learning,COMPLETA_PARA_V1,non-blocking,"Learning Graph 93, Journey Graph 93.",Adaptive learning avançado pode permanecer roadmap.
11,11-safety,Safety,COMPLETA_COM_GATES,non-blocking,"Safety engine ACTIVE_FAIL_CLOSED.",Conteúdo de segurança contínua dependente de evidência por objeto.
12,12-validation-units,Validation & Units,COMPLETA_COM_GATES,non-blocking,"Validation engine ACTIVE; 576 field contracts.",Não inferir dose/unidade não declarada.
13,13-library-os,Library OS,COMPLETA_COM_GATES,non-blocking,"16/16 bibliotecas com rotas resolvidas; genericHoldCount=0.",Somente evidência/identidade regulatória específica por campo/objeto.
14,14-search-discovery,Search & Discovery,COMPLETA_TECNICA,non-blocking,"Search index v2 MATERIALIZED_STATIC.",Otimização/ranking semântico avançado é evolução.
15,15-product-session,Product & Local Session,COMPLETA_TECNICA,release-gate,"OPERATIONAL_CONTRACT com 10 schemas; PII de paciente proibida.",QA de navegador final.
16,16-offline-export,Offline & Export,COMPLETA_TECNICA,release-gate,"Offline registry 92 profiles; 6 formatos/6 profiles.",Smoke/browser/print final no RC consolidado.
17,17-designos,DesignOS,COMPLETA_COM_QA_FINAL,release-gate,"Design System preservado; 0 broken internal href.",Homologação browser/WCAG final, sem redefinir DS.
18,18-studio,Nurse-PALM Studio,PARCIAL,scope-decision,"Editor governado de conteúdo não localizado.",Implementar Studio mínimo ou registrar como pós-v1.
19,19-qa-release,QA & Release,COMPLETA_COM_GATE_FINAL,release-gate,"RC v6.1: technicalRelease READY; blockingTechnical=[].",Consolidar v6.4.x; decisão de release do mantenedor.
20,20-ai-interop,AI & Interop,COMPLETA_COM_ROADMAP_GATES,non-blocking,"AI fail-closed subordinada a evidência/regras; mappings em HOLD.",Expansão FHIR/HL7/openEHR permanece incremental/roadmap.
